Year,NOC,Country Name,Total Athletes,Medal Count,Gold Count,Silver Count,Bronze Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
2024,ISV,"Virgin Islands, US",5,,,,,23.25,180.0,,22.0,,
2024,LCA,Saint Lucia,4,2.0,1.0,1.0,0.0,23.0,182.0,,23.0,170.0,
2024,MHL,Marshall Islands,4,,,,,23.0,180.0,,25.0,,
2024,JOR,Jordan,12,1.0,0.0,1.0,0.0,28.11111111111111,172.75,,23.0,,
2024,OMA,Oman,4,,,,,28.666666666666668,174.0,,27.0,153.0,
2024,LBA,Libya,6,,,,,21.8,,,18.0,,
2024,ALG,Algeria,46,3.0,2.0,0.0,1.0,27.22222222222222,186.6,,26.63157894736842,171.4,
2024,CAY,Cayman Islands,4,,,,,20.5,176.0,,19.0,,
2024,GUY,Guyana,5,,,,,24.5,165.0,,24.0,163.0,
2024,AIN,AIN,32,5.0,1.0,3.0,1.0,25.8,191.33333333333334,,24.352941176470587,174.25,
2024,VIN,StVincent&Grenadines,4,,,,,21.5,180.0,,21.0,167.0,
2024,ROU,Romania,96,9.0,3.0,4.0,2.0,26.489795918367346,191.9375,,26.23404255319149,170.42857142857142,
2024,BRN,Bahrain,14,4.0,2.0,1.0,1.0,25.833333333333332,165.0,,28.375,159.14285714285714,
2024,CIV,Côte d'Ivoire,13,1.0,0.0,0.0,1.0,28.25,177.5,,29.11111111111111,165.2,
2024,UZB,Uzbekistan,88,13.0,8.0,2.0,3.0,24.842105263157894,177.43333333333334,,23.903225806451612,167.5,
2024,BER,Bermuda,8,,,,,26.25,182.0,,27.5,,
2024,LUX,Luxembourg,13,,,,,27.571428571428573,190.0,,35.166666666666664,171.5,
2024,MAR,Morocco,61,2.0,1.0,0.0,1.0,25.976744186046513,181.20689655172413,,26.444444444444443,167.66666666666666,
2024,IRL,Ireland,137,7.0,4.0,0.0,3.0,28.09722222222222,182.13793103448276,88.07142857142857,26.553846153846155,170.45945945945945,66.14285714285714
2024,KIR,Kiribati,3,,,,,18.0,,,16.0,,
2024,SUR,Suriname,5,,,,,26.75,183.0,,18.0,,
2024,ARU,Aruba,6,,,,,31.0,,,23.0,,
2024,TJK,Tajikistan,14,3.0,0.0,0.0,3.0,26.454545454545453,178.66666666666666,,24.666666666666668,164.0,
2024,STP,Sao Tome & Principe,3,,,,,24.0,,,24.5,168.0,
2024,CRO,Croatia,73,7.0,2.0,2.0,3.0,29.362068965517242,194.38235294117646,,29.2,175.57142857142858,
2024,PAR,Paraguay,29,,,,,24.347826086956523,180.66666666666666,,25.666666666666668,172.0,
2024,FRA,France,591,64.0,16.0,26.0,22.0,28.19333333333333,188.2049689440994,89.38461538461539,26.278350515463917,172.82894736842104,63.0
2024,CUB,Cuba,61,9.0,2.0,1.0,6.0,28.705882352941178,182.57142857142858,,26.25925925925926,169.27272727272728,
2024,KUW,Kuwait,9,,,,,32.0,188.0,,27.0,165.0,
2024,TLS,Timor-Leste,4,,,,,21.0,176.0,,25.5,,
2024,JPN,Japan,422,45.0,20.0,12.0,13.0,26.85333333333333,181.4402985074627,86.53846153846153,25.772727272727273,166.70833333333334,63.53846153846154
2024,YEM,Yemen,4,,,,,18.333333333333332,183.0,,39.0,,
2024,GER,Germany,441,32.0,11.0,13.0,8.0,27.790178571428573,191.39,,26.70967741935484,176.41,
2024,VAN,Vanuatu,6,,,,,25.0,,,23.75,174.0,
2024,BHU,Bhutan,3,,,,,25.0,,,26.0,159.0,
